Entry_ID;Entrytype;Featuretype
id_00348;entrytype:Toponym;featuretype:Pueblo
id_00349;entrytype:Toponym;featuretype:Pueblo
id_00350;entrytype:Toponym;featuretype:Villa
id_00351;entrytype:Toponym;featuretype:Playón
id_00352;entrytype:Toponym;featuretype:Rio
id_00353;entrytype:Toponym;featuretype:Pueblo
id_00354;entrytype:Toponym;featuretype:Pueblo
id_00355;entrytype:Toponym;featuretype:Pueblo
id_00356;entrytype:Demonym;featuretype:Nación
id_00357;entrytype:Toponym;featuretype:Rio
id_00358;entrytype:Toponym;featuretype:Pueblo
id_00359;entrytype:Toponym;featuretype:Pueblo
id_00360;entrytype:Toponym;featuretype:Rio
id_00361;entrytype:Toponym;featuretype:Pueblo
id_00362;entrytype:Toponym;featuretype:Pueblo
id_00363;entrytype:Toponym;featuretype:Islotes
id_00364;entrytype:Toponym;featuretype:Pueblo
id_00365;entrytype:Toponym;featuretype:Rio
id_00366;entrytype:Toponym;featuretype:Pueblo
id_00367;entrytype:Toponym;featuretype:Pueblo
id_00368;entrytype:Toponym;featuretype:Pueblo
id_00369;entrytype:Toponym;featuretype:Pueblo
id_00370;entrytype:Toponym;featuretype:Villa
id_00371;entrytype:Toponym;featuretype:Villa
id_00372;entrytype:Toponym;featuretype:Pueblo
id_00373;entrytype:Toponym;featuretype:Pueblo
id_00374;entrytype:Toponym;featuretype:Pueblo
id_00375;entrytype:Toponym;featuretype:Pueblo
id_00376;entrytype:Toponym;featuretype:Rio
id_00377;entrytype:Toponym;featuretype:Pueblo
id_00378;entrytype:Toponym;featuretype:Ciudad
id_00379;entrytype:Toponym;featuretype:Pueblo
id_00380;entrytype:Toponym;featuretype:Pueblo
id_00381;entrytype:Toponym;featuretype:Rio
id_00382;entrytype:Toponym;featuretype:Rio
id_00383;entrytype:Toponym;featuretype:Provincia
id_00384;entrytype:Toponym;featuretype:Capital
id_00385;entrytype:Toponym;featuretype:Condado
id_00385a;entrytype:Toponym;featuretype:Capital
id_00386;entrytype:Toponym;featuretype:Rio
id_00387;entrytype:Toponym;featuretype:Fuerte
id_00388;entrytype:Toponym;featuretype:Cabo
id_00389;entrytype:Toponym;featuretype:Monte
id_00390;entrytype:Toponym;featuretype:Pueblo
id_00391;entrytype:Toponym;featuretype:Pueblo
id_00392;entrytype:Toponym;featuretype:Rio
id_00393;entrytype:Toponym;featuretype:Condado
id_00394;entrytype:Toponym;featuretype:Condado
id_00395;entrytype:Toponym;featuretype:Estrecho
id_00396;entrytype:Toponym;featuretype:Pueblo
id_00397;entrytype:Toponym;featuretype:Isla
id_00398;entrytype:Toponym;featuretype:Pueblo
id_00399;entrytype:Toponym;featuretype:Villa
id_00400;entrytype:Toponym;featuretype:Islote
id_00401;entrytype:Toponym;featuretype:Pueblo
id_00402;entrytype:Toponym;featuretype:Pueblo
id_00403;entrytype:Toponym;featuretype:Pueblo
id_00404;entrytype:Toponym;featuretype:Villa
id_00405;entrytype:Toponym;featuretype:Pueblo
id_00406;entrytype:Toponym;featuretype:Rio
id_00407;entrytype:Toponym;featuretype:Isla
id_00408;entrytype:Toponym;featuretype:Barrio
id_00409;entrytype:Toponym;featuretype:Pueblo
id_00410;entrytype:Toponym;featuretype:Pueblo
id_00411;entrytype:Demonym;featuretype:Nación
id_00412;entrytype:Toponym;featuretype:Pueblo
id_00413;entrytype:Toponym;featuretype:Pueblo
id_00414;entrytype:Toponym;featuretype:Pueblo
id_00415;entrytype:Toponym;featuretype:Pueblo
id_00416;entrytype:Toponym;featuretype:Pueblo
id_00417;entrytype:Toponym;featuretype:Isla
id_00418;entrytype:Toponym;featuretype:Pueblo
id_00419;entrytype:Toponym;featuretype:Pueblo
id_00420;entrytype:Toponym;featuretype:Isla
id_00421;entrytype:Toponym;featuretype:Pueblo
id_00422;entrytype:Toponym;featuretype:Pueblo
id_00423;entrytype:Toponym;featuretype:Valle
id_00424;entrytype:Toponym;featuretype:Rio
id_00425;entrytype:Toponym;featuretype:Pueblo
id_00426;entrytype:Toponym;featuretype:Isla
id_00427;entrytype:Referral;featuretype:None
id_00428;entrytype:Toponym;featuretype:Pueblo
id_00429;entrytype:Demonym;featuretype:Nación
id_00430;entrytype:Referral;featuretype:None
id_00431;entrytype:Toponym;featuretype:Pueblo
id_00432;entrytype:Toponym;featuretype:Estero
id_00433;entrytype:Toponym;featuretype:Volcán
id_00434;;entrytype:Demonym
id_00435;entrytype:Toponym;featuretype:Pueblo
id_00436;entrytype:Toponym;featuretype:Pueblo
id_00437;entrytype:Toponym;featuretype:Islote
id_00438;entrytype:Toponym;featuretype:Isla
id_00439;entrytype:Toponym;featuretype:Rio
id_00440;entrytype:Toponym;featuretype:Pueblo
id_00441;entrytype:Demonym;featuretype:Nación
id_00442;entrytype:Toponym;featuretype:Pueblo
id_00443;entrytype:Toponym;featuretype:Provincia
id_00444;entrytype:Toponym;featuretype:Villa
id_00445;entrytype:Toponym;featuretype:Pueblo
id_00446;entrytype:Toponym;featuretype:Pueblo
id_00447;entrytype:Toponym;featuretype:Ciudad
id_00448;entrytype:Toponym;featuretype:Bahía
id_00449;entrytype:Toponym;featuretype:Rio
id_00450;entrytype:Toponym;featuretype:Pueblo
