ID;Facsimile;Pagenumber
id_00808;Alcedo_vol_1-0101;v1-0101
id_00809;Alcedo_vol_1-0101;v1-0101
id_00810;Alcedo_vol_1-0101;v1-0101
id_00811;Alcedo_vol_1-0101;v1-0101
id_00812;Alcedo_vol_1-0101;v1-0101
id_00813;Alcedo_vol_1-0101;v1-0101
id_00814;Alcedo_vol_1-0101;v1-0101
id_00815;Alcedo_vol_1-0102;v1-0102
id_00816;Alcedo_vol_1-0102;v1-0102
id_00817;Alcedo_vol_1-0102;v1-0102
id_00818;Alcedo_vol_1-0102;v1-0102
id_00819;Alcedo_vol_1-0102;v1-0102
id_00820;Alcedo_vol_1-0102;v1-0102
id_00821;Alcedo_vol_1-0102;v1-0102
id_00822;Alcedo_vol_1-0102;v1-0102
id_00823;Alcedo_vol_1-0102;v1-0102
id_00824;Alcedo_vol_1-0102;v1-0102
id_00825;Alcedo_vol_1-0102;v1-0102
id_00826;Alcedo_vol_1-0102;v1-0102
id_00827;Alcedo_vol_1-0103;v1-0103
id_00828;Alcedo_vol_1-0103;v1-0103
id_00829;Alcedo_vol_1-0103;v1-0103
id_00830;Alcedo_vol_1-0103;v1-0103
id_00831;Alcedo_vol_1-0103;v1-0103
id_00832;Alcedo_vol_1-0104;v1-0104
id_00833;Alcedo_vol_1-0104;v1-0104
id_00834;Alcedo_vol_1-0104;v1-0104
id_00835;Alcedo_vol_1-0104;v1-0104
id_00836;Alcedo_vol_1-0104;v1-0104
id_00837;Alcedo_vol_1-0104;v1-0104
id_00838;Alcedo_vol_1-0104;v1-0104
id_00839;Alcedo_vol_1-0104;v1-0104
id_00840;Alcedo_vol_1-0104;v1-0104
id_00841;Alcedo_vol_1-0108;v1-0108
id_00842;Alcedo_vol_1-0109;v1-0109
id_00843;Alcedo_vol_1-0109;v1-0109
id_00844;Alcedo_vol_1-0109;v1-0109
id_00845;Alcedo_vol_1-0109;v1-0109
id_00846;Alcedo_vol_1-0109;v1-0109
id_00847;Alcedo_vol_1-0109;v1-0109
id_00848;Alcedo_vol_1-0109;v1-0109
id_00849;Alcedo_vol_1-0109;v1-0109
id_00850;Alcedo_vol_1-0109;v1-0109
id_00850a;Alcedo_vol_1-0110;v1-0110
id_00851;Alcedo_vol_1-0110;v1-0110
id_00852;Alcedo_vol_1-0110;v1-0110
id_00853;Alcedo_vol_1-0110;v1-0110
id_00854;Alcedo_vol_1-0110;v1-0110
id_00855;Alcedo_vol_1-0110;v1-0110
id_00856;Alcedo_vol_1-0110;v1-0110
id_00857;Alcedo_vol_1-0110;v1-0110
id_00858;Alcedo_vol_1-0111;v1-0111
id_00859;Alcedo_vol_1-0111;v1-0111
id_00860;Alcedo_vol_1-0111;v1-0111
id_00861;Alcedo_vol_1-0111;v1-0111
id_00862;Alcedo_vol_1-0111;v1-0111
id_00863;Alcedo_vol_1-0111;v1-0111
id_00864;Alcedo_vol_1-0111;v1-0111
id_00865;Alcedo_vol_1-0111;v1-0111
id_00866;Alcedo_vol_1-0111;v1-0111
id_00867;Alcedo_vol_1-0111;v1-0111
id_00868;Alcedo_vol_1-0112;v1-0112
id_00869;Alcedo_vol_1-0112;v1-0112
id_00870;Alcedo_vol_1-0112;v1-0112
id_00871;Alcedo_vol_1-0112;v1-0112
id_00872;Alcedo_vol_1-0112;v1-0112
id_00873;Alcedo_vol_1-0112;v1-0112
id_00874;Alcedo_vol_1-0112;v1-0112
id_00875;Alcedo_vol_1-0112;v1-0112
id_00876;Alcedo_vol_1-0112;v1-0112
id_00876a;Alcedo_vol_1-0112;v1-0112
id_00877;Alcedo_vol_1-0112;v1-0112
id_00878;Alcedo_vol_1-0112;v1-0112
id_00879;Alcedo_vol_1-0112;v1-0112
id_00879a;Alcedo_vol_1-0112;v1-0112
id_00880;Alcedo_vol_1-0112;v1-0112
id_00881;Alcedo_vol_1-0112;v1-0112
id_00882;Alcedo_vol_1-0113;v1-0113
id_00883;Alcedo_vol_1-0113;v1-0113
id_00884;Alcedo_vol_1-0113;v1-0113
id_00885;Alcedo_vol_1-0113;v1-0113
id_00886;Alcedo_vol_1-0114;v1-0114
id_00887;Alcedo_vol_1-0114;v1-0114
id_00888;Alcedo_vol_1-0115;v1-0115
id_00889;Alcedo_vol_1-0115;v1-0115
id_00890;Alcedo_vol_1-0115;v1-0115
id_00891;Alcedo_vol_1-0115;v1-0115
id_00892;Alcedo_vol_1-0115;v1-0115
id_00893;Alcedo_vol_1-0115;v1-0115
id_00894;Alcedo_vol_1-0115;v1-0115
id_00895;Alcedo_vol_1-0115;v1-0115
id_00896;Alcedo_vol_1-0115;v1-0115
id_00897;Alcedo_vol_1-0116;v1-0116
id_00898;Alcedo_vol_1-0116;v1-0116
id_00899;Alcedo_vol_1-0116;v1-0116
id_00900;Alcedo_vol_1-0116;v1-0116
id_00901;Alcedo_vol_1-0116;v1-0116
id_00902;Alcedo_vol_1-0116;v1-0116
id_00903;Alcedo_vol_1-0116;v1-0116
id_00904;Alcedo_vol_1-0116;v1-0116
id_00905;Alcedo_vol_1-0116;v1-0116
id_00906;Alcedo_vol_1-0116;v1-0116
id_00907;Alcedo_vol_1-0117;v1-0117
id_00908;Alcedo_vol_1-0117;v1-0117
id_00909;Alcedo_vol_1-0118;v1-0118
id_00910;Alcedo_vol_1-0119;v1-0119
id_00911;Alcedo_vol_1-0119;v1-0119
id_00912;Alcedo_vol_1-0119;v1-0119
id_00913;Alcedo_vol_1-0119;v1-0119
id_00914;Alcedo_vol_1-0119;v1-0119
id_00915;Alcedo_vol_1-0120;v1-0120
id_00916;Alcedo_vol_1-0120;v1-0120
id_00917;Alcedo_vol_1-0121;v1-0121
id_00918;Alcedo_vol_1-0121;v1-0121
id_00919;Alcedo_vol_1-0121;v1-0121
id_00920;Alcedo_vol_1-0121;v1-0121
id_00921;Alcedo_vol_1-0121;v1-0121
id_00922;Alcedo_vol_1-0121;v1-0121
id_00923;Alcedo_vol_1-0121;v1-0121
id_00923a;Alcedo_vol_1-0121;v1-0121
id_00924;Alcedo_vol_1-0121;v1-0121
id_00925;Alcedo_vol_1-0121;v1-0121
id_00926;Alcedo_vol_1-0121;v1-0121
id_00927;Alcedo_vol_1-0121;v1-0121
id_00928;Alcedo_vol_1-0122;v1-0122
id_00929;Alcedo_vol_1-0122;v1-0122
id_00930;Alcedo_vol_1-0122;v1-0122
