termID|corresp_entry|volume|Nombre|majortype|featuretype|conf_identity|idno_base|gazetteermatch|Province|region|auto|flag|corresp_concept
TopUrbiTerm28857|id_18558|5|Chile|Term|Nutriment|-||-|-|-|18857||
TopUrbiTerm28858|id_18559|5|China|Term|Social|-||-|-|-|18858||
TopUrbiTerm28859|id_18560|5|Chingate|Term|Nutriment|-||-|-|-|18859||
TopUrbiTerm28860|id_18561|5|Chinchilla|Term|Animal|-||-|-|-|18860||
TopUrbiTerm28861|id_18562|5|Chingana|Term|Landmark|-||-|-|-|18861||
TopUrbiTerm28862|id_18563|5|Chinguirito|Term|Nutriment|-||-|-|-|18862||
TopUrbiTerm28863|id_18564|5|Chini|Term|Animal|-||-|-|-|18863||
TopUrbiTerm28864|id_18565|5|Chircate|Term|Textiles|-||-|-|-|18864||
TopUrbiTerm28865|id_18566|5|Chiricles|Term|Animal|-||-|-|-|18865||
TopUrbiTerm28866|id_18567|5|Chirimoya|Term|Nutriment|-||-|-|-|18866||
TopUrbiTerm28867|id_18568|5|Cholo|Term|Social|-||-|-|-|18867|y|Cholo
TopUrbiTerm28868|id_18569|5|Chombo|Term|Synonym|-||-|-|-|18868||
TopUrbiTerm28869|id_18570|5|Chonta|Term|Botany|-||-|-|-|18869||
TopUrbiTerm28870|id_18571|5|Chorote|Term|Nutriment|-||-|-|-|18870||
TopUrbiTerm28871|id_18572|5|Chorillo|Term|Textiles|-||-|-|-|18871||
TopUrbiTerm28872|id_18573|5|Chuahu|Term|Illness|-||-|-|-|18872||
TopUrbiTerm28873|id_18574|5|Chuce|Term|Textiles|-||-|-|-|18873||
TopUrbiTerm28874|id_18575|5|Chucha|Term|Animal|-||-|-|-|18874||
TopUrbiTerm28875|id_18576|5|Chumbe|Term|Textiles|-||-|-|-|18875||
TopUrbiTerm28876|id_18577|5|Chuño|Term|Nutriment|-||-|-|-|18876||
TopUrbiTerm28877|id_18578|5|Chupe|Term|Nutriment|-||-|-|-|18877||
TopUrbiTerm28878|id_18579|5|Chuspas|Term|Textiles|-||-|-|-|18878||
TopUrbiTerm28879|id_18580|5|Cibolo|Term|Animal|-||-|-|-|18879||
TopUrbiTerm28880|id_18581|5|Ciego|Term|Animal|-||-|-|-|18880||
TopUrbiTerm28881|id_18582|5|Ciento pies|Term|Animal|-||-|-|-|18881||
TopUrbiTerm28883|id_18584|5|Cimarron|Term|Social|-||-|-|-|18883||
TopUrbiTerm28884|id_18585|5|Cinto|Term|Mineralogy|-||-|-|-|18884||
TopUrbiTerm28885|id_18586|5|Coca|Term|Botany|-||-|-|-|18885||
TopUrbiTerm28886|id_18587|5|Cocada|Term|Nutriment|-||-|-|-|18886||
TopUrbiTerm28887|id_18588|5|Cochinilla|Term|Animal|-||-|-|-|18887||
TopUrbiTerm28889|id_18590|5|Coco|Term|Botany|-||-|-|-|18889||
TopUrbiTerm28890|id_18591|5|Cocobolo|Term|Botany|-||-|-|-|18890||
TopUrbiTerm28892|id_18593|5|Colpa|Term|Nutriment|-||-|-|-|18892||
TopUrbiTerm28893|id_18594|5|Comejen|Term|Animal|-||-|-|-|18893||
TopUrbiTerm28894|id_18595|5|Condor|Term|Animal|-||-|-|-|18894||
TopUrbiTerm28895|id_18596|5|Congo|Term|Social|-||-|-|-|18895||
TopUrbiTerm28896|id_18597|5|Contrayerba|Term|Botany|-||-|-|-|18896||
TopUrbiTerm28897|id_18598|5|Copal|Term|Botany|-||-|-|-|18897||
TopUrbiTerm28899|id_18600|5|Copei|Term|Produce|-||-|-|-|18899||
