entry_id,corresp_entry,normname,entrytype,majortype,featuretype,province,region,PlaceID
id_05613,,Duqueco,Toponym,landmark,Rio,Laja,Chile,TopUrbiPlace15779
id_05614,,Duquesne,Toponym,structure,Fuerte,Canada,Nueva Francia,TopUrbiPlace15780
id_05615,,Durac,Toponym,settlement,Pueblo,Buenos Aires,unspecified,TopUrbiPlace15781
id_05616,,Duran,Toponym,landmark,Rio,Guayaquil,Quito,TopUrbiPlace15782
id_05617,,Durango,Toponym,settlement,Ciudad,Nueva Vizcaya,Nueva Vizcaya,TopUrbiPlace15783
id_05618,,Durango,Toponym,landmark,Rio,Esmeraldas,unspecified,TopUrbiPlace11537
id_05619,,Duras,Toponym,landmark,Punta de tierra,Malvinas,unspecified,TopUrbiPlace11538
id_05620,id_05601,Durcino,Toponym,settlement,Pueblo,Santa Marta,Nueva Granada,TopUrbiPlace11539
id_05621,,Dure,Toponym,landmark,Rio,Luisiana,unspecified,TopUrbiPlace11540
id_05622,,Durham,Toponym,settlement,Ciudad,Connecticut,unspecified,TopUrbiPlace11541
id_05623,,Durham,Toponym,settlement,Pueblo,Pennsylvania,unspecified,TopUrbiPlace11542
id_05624,,Duya,Toponym,landmark,Rio,Nuevo Reyno de Granada,Nueva Granada,TopUrbiPlace11543
id_05625,,Duxbury,Toponym,settlement,Ciudad,Massachussetts,unspecified,TopUrbiPlace11544
id_05626,,Eair-field,Toponym,settlement,Pueblo,Connecticut,Nueva Inglaterra,TopUrbiPlace11545
id_05627,,Eastern-branch,Toponym,landmark,Brazo,Maryland,unspecified,TopUrbiPlace11546
id_05628,,East-chester,Toponym,settlement,Ciudad,New York,unspecified,TopUrbiPlace11547
id_05629,,East-church,Toponym,settlement,Pueblo,Barbados,unspecified,TopUrbiPlace11548
id_05630,,East-ham,Toponym,settlement,Ciudad,Massachussetts,Nueva Inglaterra,TopUrbiPlace11549
id_05631,,East-main,Toponym,territory,Condado,Labrador,unspecified,TopUrbiPlace11550
id_05632,,Easton,Toponym,settlement,Pueblo,Pennsylvania,unspecified,TopUrbiPlace11551
id_05633,,Easton,Toponym,settlement,Pueblo,Plymouth,Nueva Inglaterra,TopUrbiPlace11552
id_05634,,Easton,Toponym,settlement,Ciudad,Pennsylvania,unspecified,TopUrbiPlace11553
id_05635,,Ebate,Toponym,territory,Provincia,Ubate,Nueva Granada,TopUrbiPlace11554
id_05636,,Ebaubas,Toponym,settlement,Aldea,San Vicente,Brasil,TopUrbiPlace11555
id_05637,,Ebenezer,Toponym,settlement,Ciudad,Georgia,unspecified,TopUrbiPlace11556
id_05638,,Ebojito,Toponym,landmark,Volcán,Choco,unspecified,TopUrbiPlace10208
id_05639,,Ecatepec,Toponym,territory,Partido,Ecatepec,unspecified,TopUrbiPlace15784
id_05639a,,San Christóval Ecatepec,Toponym,settlement,Pueblo,Ecatepec,unspecified,TopUrbiPlace15785
id_05640,,Ecatepeque,Toponym,settlement,Pueblo,Chiapas,Guatemala,TopUrbiPlace15786
id_05641,,San Pedro de Ecazingo,Toponym,settlement,Pueblo Cabecera,Chalco,Nueva España,TopUrbiPlace15787
id_05642,id_02410,Ecce-homo,Toponym,settlement,Pueblo,Pamplona,Nueva Granada,TopUrbiPlace15788
id_05643,,Ecce-homo,Toponym,settlement,Pueblo,Velez,Nueva Granada,TopUrbiPlace15789
id_05644,,Echecouna,Toponym,landmark,Rio,Georgia,unspecified,TopUrbiPlace15790
id_05645,,Echetii,Toponym,settlement,Pueblo de Indios,Georgia,unspecified,TopUrbiPlace15791
id_05646,,Echi,Toponym,settlement,Pueblo de Indios,Carolina,unspecified,TopUrbiPlace15792
id_05647,,Echitis,Toponym,settlement,Pueblo de Indios,Georgia,unspecified,TopUrbiPlace15793
id_05648,,Morne aux Echos,Toponym,landmark,Montaña,Guayana,unspecified,TopUrbiPlace15794
id_05649,,Echucandiro,Toponym,settlement,Pueblo Cabecera,Valladolid,Nueva España,TopUrbiPlace15795
id_05650,,San Christóval de la Nueva Ecija,Toponym,settlement,Ciudad,Cumana,unspecified,TopUrbiPlace15796
id_05650a,,San Miguel Ecija,Toponym,settlement,Ciudad,Sucumbios,Quito,TopUrbiPlace15797
id_05651,,Eclava,Toponym,landmark,Rio,Nuevo Reyno de Granada,unspecified,TopUrbiPlace15798
id_05652,,Ecors,Toponym,landmark,Rio,Luisiana,unspecified,TopUrbiPlace15799
id_05653,,Ecoumknac,Toponym,landmark,Punta,Acadia,Nueva Escocia,TopUrbiPlace15800
id_05654,,las siete Edades,Toponym,landmark,Isleta,Cumana,unspecified,TopUrbiPlace15801
id_05655,,Edeva,Toponym,landmark,Rio,Guayana,unspecified,TopUrbiPlace15802
id_05656,,Edenton,Toponym,settlement,Ciudad,North Carolina,unspecified,TopUrbiPlace15803
id_05657,,Edgar,Toponym,settlement,Ciudad,New England,unspecified,TopUrbiPlace15804
id_05658,,Edgecumbe,Toponym,territory,Condado,Carolina,unspecified,TopUrbiPlace15805
id_05659,,Edimburg,Referral,Referral,None,unspecified,unspecified,TopUrbiPlace15806
id_05660,,Edisto,Toponym,settlement,Pueblo,Georgia,unspecified,TopUrbiPlace15807
id_05661,,Edisto,Toponym,landmark,Rio,Georgia,unspecified,TopUrbiPlace15808
id_05662,,Edisto,Toponym,landmark,Isla,Georgia,unspecified,TopUrbiPlace15809
id_05663,,San Eduardo,Toponym,settlement,Pueblo,Sonora,Nueva España,TopUrbiPlace15810
id_05664,,San Eduardo Príncipe,Toponym,territory,Condado,Virginia,unspecified,TopUrbiPlace15811
id_05665,,San Eduardo,Toponym,structure,Fuerte,New Scotland,Nueva Escocia,TopUrbiPlace15812
id_05666,,Great Egg,Toponym,landmark,Puerto,New Jersey,unspecified,TopUrbiPlace15813
